Reactant1;Reactant2;Product;Yield;M;L;T;S;A;id
FC1=CC(C[Zn]Cl)=CC(F)=C1;NC1=NNC2=NC=C(Br)C=C12;NC1=NNC2=NC=C(CC3=CC(F)=CC(F)=C3)C=C12;0.93;[];[];[57, 57];[60];[];767
O[C@H]1CCCC[C@@H]1N1C=NC2=C(C=C(CC3=CC=C(Cl)N=C3)C3=C2C=CC=C3)C1=O;C[Zn]Cl;CC1=CC=C(CC2=CC3=C(N=CN([C@H]4CCCC[C@@H]4O)C3=O)C3=C2C=CC=C3)C=N1;0.95;[6];[];[57];[60];[];768
COC1=CC=C(Br)C(=C1)C(C)=O;Br[Zn]C1CCCCC1;COC1=CC=C(C2CCCCC2)C(=C1)C(C)=O;0.1;[6];[];[57];[62];[];769
CC1CCC2=C(C=C(Br)C=C2)C11N=C(N)N(C)C1=O;CC(C)CC[Zn]Br;CC(C)CCC1=CC2=C(CCC(C)C22N=C(N)N(C)C2=O)C=C1;0.39;[6];[];[57];[60];[];770
CN1C(N)=NC2(C1=O)C1=C(OC3=C2C=C(C=C3)C2=CC(Cl)=CN=C2)C=CC(Br)=C1;CCC[Zn]Br;CCCC1=CC2=C(OC3=C(C=C(C=C3)C3=CN=CC(Cl)=C3)C22N=C(N)N(C)C2=O)C=C1;0.21;[6];[];[57];[60];[];771
CC(C)(C)OC(=O)N1CCOC2=C(C1)C(OCC1=CC=CC=C1)=CC(Br)=C2;C[Zn]C;CC1=CC2=C(CN(CCO2)C(=O)OC(C)(C)C)C(OCC2=CC=CC=C2)=C1;0.94;[6];[];[57];[64];[];772
CN1[C@@H](C[C@@H](NS1(=O)=O)C1=CC=C(Br)S1)C(=O)NC1=CC=C(F)C(Cl)=C1;C[Zn]C;CN1[C@@H](C[C@@H](NS1(=O)=O)C1=CC=C(C)S1)C(=O)NC1=CC=C(F)C(Cl)=C1;0.58;[7];[];[57];[64];[];773
CC(C)(C)OC(=O)N1CC(C)(CCC#N)C2=CC=C(Br)C=C12;FC1=CC=C(C[Zn]Cl)C=C1;CC(C)(C)OC(=O)N1CC(C)(CCC#N)C2=CC=C(CC3=CC=C(F)C=C3)C=C12;0.929;[7];[];[57];[60];[];774
COC(=O)C1(C)CN(C(=O)OC(C)(C)C)C2=CC(Br)=CC=C12;FC1=CC=C(C[Zn]Cl)C=C1;COC(=O)C1(C)CN(C(=O)OC(C)(C)C)C2=CC(CC3=CC=C(F)C=C3)=CC=C12;0.526;[7];[];[57];[60];[];775
FC1=CC(C[Zn]Cl)=CC(F)=C1;NC1=NNC2=NC=C(Br)C=C12;NC1=NNC2=NC=C(CC3=CC(F)=CC(F)=C3)C=C12;0.93;[7];[];[57];[60];[];776
FC1=CC(C[Zn]Cl)=CC(F)=C1;NC1=NNC2=NC=C(Br)C=C12;NC1=NNC2=NC=C(CC3=CC(F)=CC(F)=C3)C=C12;0.93;[7];[];[57];[60];[];777
FC1=CC(C[Zn]Cl)=CC(F)=C1;NC1=NNC2=NC=C(Br)C=C12;NC1=NNC2=NC=C(CC3=CC(F)=CC(F)=C3)C=C12;0.93;[7];[];[57];[60];[];779
N#C[Zn]C#N;ClC1=NC=NC2=C1N(CC1=CC=CC=C1)C=N2;N#CC1=NC=NC2=C1N(CC1=CC=CC=C1)C=N2;0.75;[];[];[57, 57, 57];[];[];781
CCN1C(=O)C(I)=CC2=CN=C(NC3=NC=C(C)C=C3)C=C12;Br[Zn]C1=NC=CS1;CCN1C(=O)C(=CC2=CN=C(NC3=NC=C(C)C=C3)C=C12)C1=NC=CS1;0.447;[0];[];[57];[64];[];782
CC(C)(C)OC(=O)N[C@H](COC1=CC(=C(Cl)N=C1)C1=CC2=C(C=C1)C=NC=C2)CC1=CNC2=C1C=CC=C2;N#C[Zn]C#N;CC(C)(C)OC(=O)N[C@H](COC1=CC(C2=CC3=C(C=C2)C=NC=C3)=C(N=C1)C#N)CC1=CNC2=C1C=CC=C2;0.89;[0];[];[57];[61];[];783
N#C[Zn]C#N;CCCN(CCC)C1COC2=C(C1)C(OS(=O)(=O)C(F)(F)F)=CC=C2;CCCN(CCC)C1COC2=C(C1)C(=CC=C2)C#N;0.71;[0];[];[57];[61];[];784
IC1=CC2=C(C=C1)C1=CC=CC=C1O2;N#C[Zn]C#N;N#CC1=CC2=C(C=C1)C1=CC=CC=C1O2;0.85;[0];[];[57];[61];[];785
IC1=CC2=C(C=C1)C1=CC=CC=C1C2=O;N#C[Zn]C#N;O=C1C2=C(C=CC=C2)C2=C1C=C(C=C2)C#N;0.93;[0];[];[57];[61];[];786
BrC1=CC=CC(Br)=N1;Br[Zn]C1=NC=CC=C1;BrC1=CC=CC(=N1)C1=NC=CC=C1;0.44;[0];[];[57];[60];[];787
BrC1=NC2=C(Br)C=CC=C2C=C1;CC(C)(C)C1=CC(=CC(=C1)C1=CC=CC(=N1)[Zn++]([Br-])[Br-])C(C)(C)C;CC(C)(C)C1=CC(=CC(=C1)C1=CC=CC(=N1)C1=CC=C2C=CC=C(Br)C2=N1)C(C)(C)C;0.6;[0];[];[57];[60];[];788
O[C@H]1CCCC[C@@H]1N1CC2=C(C=C(Br)C3=CC=CC=C23)C1=O;COC1=CC=C(C[Zn]Cl)C=C1;COC1=CC=C(CC2=CC3=C(CN([C@H]4CCCC[C@@H]4O)C3=O)C3=CC=CC=C23)C=C1;0.16;[0];[];[57];[60];[];789
N#C[Zn]C#N;COC(=O)CC1=CC(Br)=CC=C1;COC(=O)CC1=CC(=CC=C1)C#N;0.79;[0];[];[57];[61];[];791
C[C@H]1NC(CC2=CC=C(Cl)C(OC3=CC(=CC(Br)=C3)C(F)F)=C2F)=NNC1=O;N#C[Zn]C#N;C[C@H]1NC(CC2=CC=C(Cl)C(OC3=CC(=CC(=C3)C#N)C(F)F)=C2F)=NNC1=O;0.28;[0];[];[57];[61];[];792
N#C[Zn]C#N;CC(C)(C)OC(=O)NC1CNC2=CC=C(Br)C=C2C1;CC(C)(C)OC(=O)NC1CNC2=CC=C(C=C2C1)C#N;0.67;[0];[];[57];[61];[];793
CC1(CCCN1C(=O)OCC1=CC=CC=C1)C1=NC2=C(Br)C=C(C=C2N1)C(F)(F)F;N#C[Zn]C#N;CC1(CCCN1C(=O)OCC1=CC=CC=C1)C1=NC2=C(C=C(C=C2N1)C(F)(F)F)C#N;0.75;[0];[];[57];[61];[];794
CC1=CC(I)=C(F)C=C1Cl;N#C[Zn]C#N;CC1=CC(C#N)=C(F)C=C1Cl;0.33;[0];[];[57];[61];[];795
CC1=CC(I)=C(F)C=C1Cl;N#C[Zn]C#N;CC1=CC(C#N)=C(F)C=C1Cl;0.33;[0];[];[57];[61];[];796
CC1=CC(I)=C(F)C=C1Cl;N#C[Zn]C#N;CC1=CC(C#N)=C(F)C=C1Cl;0.33;[0];[];[57];[61];[];797
CC1=CC(I)=C(F)C=C1Cl;[Zn]C#N;CC1=CC(C#N)=C(F)C=C1Cl;0.33;[0];[];[57];[61];[];798
N#C[Zn]C#N;CC1=C(F)C=C(F)C(I)=C1;CC1=CC(C#N)=C(F)C=C1F;0.42;[0];[];[57];[61];[];799
N#C[Zn]C#N;CC1=C(F)C=C(F)C(I)=C1;CC1=CC(C#N)=C(F)C=C1F;0.42;[0];[];[57];[61];[];800
N#C[Zn]C#N;CC1=C(F)C=C(F)C(I)=C1;CC1=CC(C#N)=C(F)C=C1F;0.42;[0];[];[57];[61];[];801
N#C[Zn]C#N;CC1=C(F)C=C(F)C(I)=C1;CC1=CC(C#N)=C(F)C=C1F;0.42;[0];[];[57];[61];[];802
[Zn]C#N;CC1=C(F)C=C(F)C(I)=C1;CC1=CC(C#N)=C(F)C=C1F;0.42;[0];[];[57];[61];[];803
COC(=O)CCCC1=CSC2=C1C=C(Br)C=C2;N#C[Zn]C#N;COC(=O)CCCC1=CSC2=C1C=C(C=C2)C#N;0.92;[0];[];[57];[61];[];804
COC1=CC(Br)=CC(C)=C1;N#C[Zn]C#N;COC1=CC(C)=CC(=C1)C#N;0.83;[0];[];[57];[61];[];805
CS(=O)(=O)NC1=C(Cl)C=C(I)C=C1;N#C[Zn]C#N;CS(=O)(=O)NC1=C(Cl)C=C(C=C1)C#N;0.88;[0];[];[57];[61];[];806
N#C[Zn]C#N;BrC1=CC(CC#N)=CC(Br)=C1;N#CCC1=CC(=CC(=C1)C#N)C#N;0.72;[0];[];[57];[61];[];807
ClC1=NC2=CC=C(C=C2C(Cl)=N1)C1=CC=CO1;Br[Zn]C1=NC=CC=C1;ClC1=NC2=CC=C(C=C2C(=N1)C1=NC=CC=C1)C1=CC=CO1;0.23;[0];[];[57];[60];[];808
ClC1=C(N=CC(NC(=O)C2CC2)=N1)C1=CC=NC=C1;Cl[Zn]C1=NC=CO1;O=C(NC1=NC(C2=NC=CO2)=C(N=C1)C1=CC=NC=C1)C1CC1;0.26;[0];[];[57];[60];[];809
N#C[Zn]C#N;ClC1=C2N=CN(CC=C)C2=NC=N1;C=CCN1C=NC2=C1N=CN=C2C#N;0.79;[0, 0];[];[57];[];[];810
CC(C)(C)[Si](C)(C)OC[C@H]1O[C@H]([C@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[Si](C)(C)C(C)(C)C)N1C=NC2=C1N=CN=C2Cl;N#C[Zn]C#N;CC(C)(C)[Si](C)(C)OC[C@H]1O[C@H]([C@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[Si](C)(C)C(C)(C)C)N1C=NC2=C1N=CN=C2C#N;0.73;[0, 0];[];[57];[];[];811
N#C[Zn]C#N;IC1=NC=NC2=C1N(CC1=CC=CC=C1)C=N2;N#CC1=NC=NC2=C1N(CC1=CC=CC=C1)C=N2;0.77;[0, 0];[];[57];[];[];812
ClC1=NC=NC2=C1N=CN2CC1=CC=CC=C1;N#C[Zn]C#N;N#CC1=NC=NC2=C1N=CN2CC1=CC=CC=C1;0.84;[0, 0];[];[57];[];[];813
N#C[Zn]C#N;IC1=NC=NC2=C1N=CN2CC1=CC=CC=C1;N#CC1=NC=NC2=C1N=CN2CC1=CC=CC=C1;0.89;[0, 0];[];[57];[];[];814
N#C[Zn]C#N;NC1=NC2=C(N=CN2CC=C)C(Cl)=N1;NC1=NC2=C(N=CN2CC=C)C(=N1)C#N;0.81;[0, 0];[];[57];[];[];815
N#C[Zn]C#N;OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2Cl;OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2C#N;0.48;[0, 0];[];[57];[];[];816
CC(C)C(=O)C1=CC=C(I)C=C1;CC1=CC=C([Zn]C2=CC=C(C)C=C2)C=C1;CC(C)C(=O)C1=CC=C(C=C1)C1=CC=C(C)C=C1;0.64;[];[];[57];[60];[];817
CC(C)(C)OC(=O)N1CCC(COCC2=CC(=CC(Br)=C2)C2=CC=C(C=C2)C#N)(CC1)C1=CC=CC=C1;N#C[Zn]C#N;CC(C)(C)OC(=O)N1CCC(COCC2=CC(=CC(=C2)C#N)C2=CC=C(C=C2)C#N)(CC1)C1=CC=CC=C1;0.33;[0];[];[57];[61];[];818
OCC1=CC(Br)=CC(=C1)C(F)(F)F;N#C[Zn]C#N;OCC1=CC(=CC(=C1)C#N)C(F)(F)F;0.33;[0];[];[57];[61];[];820
N#C[Zn]C#N;ClC1=CC=C(C=C1)C(=O)OC[C@H]1O[C@H](C[C@@H]1OC(=O)C1=CC=C(Cl)C=C1)N1C=C(I)C2=C(C=CC=C2)C1=O;ClC1=CC=C(C=C1)C(=O)OC[C@H]1O[C@H](C[C@@H]1OC(=O)C1=CC=C(Cl)C=C1)N1C=C(C#N)C2=C(C=CC=C2)C1=O;0.84;[0];[];[57];[61];[];821
N#C[Zn]C#N;CS(=O)(=O)NC1=CC=C(I)C=C1F;CS(=O)(=O)NC1=CC=C(C=C1F)C#N;0.8;[0];[];[57];[61];[];822
N#C[Zn]C#N;FC1=CC(F)=C(C=C1I)[C@H]1C[C@H](OC(=O)C2=CC=C(Cl)C=C2)[C@@H](COC(=O)C2=CC=C(Cl)C=C2)O1;FC1=CC(F)=C(C=C1C#N)[C@H]1C[C@H](OC(=O)C2=CC=C(Cl)C=C2)[C@@H](COC(=O)C2=CC=C(Cl)C=C2)O1;0.94;[0];[];[57];[61];[];823
COC1=CC(Cl)=C2N=C(C=C(Br)C2=C1)C1=CC=C(OC)C(F)=C1;N#C[Zn]C#N;COC1=CC(Cl)=C2N=C(C=C(C#N)C2=C1)C1=CC=C(OC)C(F)=C1;0.96;[1];[32];[57];[61];[71];824
CC(C)(C)OC(=O)N1CCC(CC1)[Zn]I;CC1=C(C=CC=C1)C(CC(=O)C1=CN=NC=C1)C1=CC=C(Br)C=C1;CC1=C(C=CC=C1)C(CC(=O)C1=CN=NC=C1)C1=CC=C(C=C1)C1CCN(CC1)C(=O)OC(C)(C)C;0.29;[5];[];[57];[65];[72];825
CC(C)(C)OC(=O)N1CCC(CC1)[Zn]I;CC1=C(C=CC=C1)C(CC(=O)C1=CN=NC=C1)C1=CC=C(Br)C=C1;CC1=C(C=CC=C1)C(CC(=O)C1=CN=NC=C1)C1=CC=C(C=C1)C1CCN(CC1)C(=O)OC(C)(C)C;0.29;[5];[];[57];[65];[72];826
CC(C)(C)OC(=O)N1CCC(C[Zn]I)CC1;COC1=CC(OC)=C(F)C(N2CC3=C(N(C)C2=O)C2=C(N=C3)N(C(Br)=C2)S(=O)(=O)C2=CC=CC=C2)=C1F;COC1=CC(OC)=C(F)C(N2CC3=C(N(C)C2=O)C2=C(N=C3)N(C(CC3CCN(CC3)C(=O)OC(C)(C)C)=C2)S(=O)(=O)C2=CC=CC=C2)=C1F;0.76;[7];[];[57];[61];[72];827
CC(C)(C)OC(=O)N1CC(C1)[Zn]I;CC(C)N1N=CN=C1C1=NC2=C(CCOC3=C2C=CC(Br)=C3)S1;CC(C)N1N=CN=C1C1=NC2=C(CCOC3=C2C=CC(=C3)C2CN(C2)C(=O)OC(C)(C)C)S1;0.73;[7, 7];[];[57];[];[72];828
CC1=CC(C)=C([Zn]Br)C(C)=C1;COC1=C(Br)C=C(C=C1Br)C(C)(C)C;COC1=C(C=C(C=C1Br)C(C)(C)C)C1=C(C)C=C(C)C=C1C;0.76;[0];[];[57];[60];[89];829
CN(C(=O)OC(C)(C)C)C1=NC([C@H]2CCCN2C(=O)OC(C)(C)C)=C(Br)S1;N#C[Zn]C#N;CN(C(=O)OC(C)(C)C)C1=NC([C@H]2CCCN2C(=O)OC(C)(C)C)=C(S1)C#N;0.85;[1, 1];[32];[57];[];[];830
CCOC1=NNC(=C1I)C(F)(F)F;Br[Zn]CC1=CC=CC=C1;CCOC1=NNC(=C1CC1=CC=CC=C1)C(F)(F)F;0.51;[3];[34];[57];[60];[];831
FC(F)(F)C1=C(I)C=NN1;Br[Zn]CC1=CC=CC=C1;FC(F)(F)C1=NNC=C1CC1=CC=CC=C1;0.64;[3];[34];[57];[60];[];832
BrC1=CC2=C(NS(=O)(=O)CO2)C=C1;CC(C)(C)OC(=O)C[Zn+][Br-];CC(C)(C)OC(=O)CC1=CC=C2NS(=O)(=O)COC2=C1;0.74;[1];[34];[57];[60];[];833
FC1(F)C(=O)NC2=C1C=C(Br)C=C2;COC(=O)C1(CC1)[Zn]Br;COC(=O)C1(CC1)C1=CC=C2NC(=O)C(F)(F)C2=C1;0.99;[1];[34];[57];[60];[];835
BrC1=CC=C2NC(=O)CC2=C1;COC(=O)C1(CC1)[Zn]Br;COC(=O)C1(CC1)C1=CC=C2NC(=O)CC2=C1;0.4;[1];[34];[57];[60];[];836
COC(=O)C1=CC(Cl)=NC(OC)=C1;CCC(CC)[Zn]Br;CCC(CC)C1=NC(OC)=CC(=C1)C(=O)OC;0.9;[5];[];[57];[60];[];838
CCOC(=O)C1=CC=CC(Br)=C1;Br[Zn]C1CCCC1;CCOC(=O)C1=CC(=CC=C1)C1CCCC1;0.81;[5];[];[57];[60];[];839
Br[Zn]C1CCC1;CCOC(=O)C1=CC(Cl)=NC(OC)=C1;CCOC(=O)C1=CC(OC)=NC(=C1)C1CCC1;0.47;[5];[];[57];[60];[];840
COC(=O)C1=CC(Cl)=NC(OC)=C1;Br[Zn]C1CCCC1;COC(=O)C1=CC(OC)=NC(=C1)C1CCCC1;0.67;[5];[];[57];[60];[];841
CC(C)OC1=NN(C(C)=C1Br)C1=NC=CC=C1;Br[Zn]CC1=CC=CC=C1;CC(C)OC1=NN(C(C)=C1CC1=CC=CC=C1)C1=NC=CC=C1;0.3;[7];[];[57];[60];[];842
CCOC1=NNC(I)=C1;Br[Zn]CC1=CC=CC=C1;CCOC1=NNC(CC2=CC=CC=C2)=C1;0.63;[7];[];[57];[60];[];843
OC1CCC(CC1)N1CCN(CC1=O)C(=O)C1=NN2C(C=C(C=C2I)C2CC2)=C1Cl;CC[Zn]CC;CCC1=CC(=CC2=C(Cl)C(=NN12)C(=O)N1CCN(C2CCC(O)CC2)C(=O)C1)C1CC1;0.03;[7, 7];[];[57];[];[];844
CC1(C)OC(=O)N([C@H]1C1=CC=CC=C1)[C@H]1CC[C@@H](CC1)C1=CN=C(N)C(Br)=C1;N#C[Zn]C#N;CC1(C)OC(=O)N([C@H]1C1=CC=CC=C1)[C@H]1CC[C@@H](CC1)C1=CN=C(N)C(=C1)C#N;0.6;[0];[];[57];[61];[];845
CC1=NC(CCC(=O)OC(C)(C)C)=CC=C1OS(=O)(=O)C(F)(F)F;N#C[Zn]C#N;CC1=NC(CCC(=O)OC(C)(C)C)=CC=C1C#N;1.0;[0];[];[57];[61];[];846
ClC1=CC(Cl)=C(I)C(Cl)=C1;N#C[Zn]C#N;ClC1=CC(Cl)=C(C#N)C(Cl)=C1;0.84;[0];[];[57];[61];[];847
COC1=C(I)C=CC2=C1C(C)=C(O2)C(=O)OC(C)(C)C;N#C[Zn]C#N;COC1=C(C=CC2=C1C(C)=C(O2)C(=O)OC(C)(C)C)C#N;0.7;[0];[];[57];[61];[];849
COC1=C(N=C(Br)C2=CC=CN=C12)C1=NN=C(CC2=CC=C(F)C=C2)O1;N#C[Zn]C#N;COC1=C(N=C(C#N)C2=CC=CN=C12)C1=NN=C(CC2=CC=C(F)C=C2)O1;0.91;[0];[];[57];[61];[];850
FC1=C(C[Zn]Br)C(Cl)=CC=C1;CC1=CC=C(C=C1)C1=CC2=C(I)C=CC(C(N)=O)=C2N1;CC1=CC=C(C=C1)C1=CC2=C(CC3=C(Cl)C=CC=C3F)C=CC(C(N)=O)=C2N1;0.3;[0];[];[57];[60];[];851
CC1=C(Br)C=CC(Br)=N1;CCOC(=O)CC[Zn]Br;CCOC(=O)CCC1=CC=C(Br)C(C)=N1;0.6;[0];[];[57];[60];[];852
BrC1=CN=CC(=C1)C#N;Br[Zn]CC1=CC=CC=C1;N#CC1=CN=CC(CC2=CC=CC=C2)=C1;0.84;[0];[];[57];[60];[];853
[H][C@]12CCC[C@](CCN1CC1=CC=CC=C1)(C2)C1=CC(OS(=O)(=O)C(F)(F)F)=CC=C1;N#C[Zn]C#N;[H][C@]12CCC[C@](CCN1CC1=CC=CC=C1)(C2)C1=CC(=CC=C1)C#N;0.54;[0];[];[57];[61];[];854
CCOC(=O)C1=C(C)C2=C(OS(=O)(=O)C(F)(F)F)C=CC=C2O1;N#C[Zn]C#N;CCOC(=O)C1=C(C)C2=C(O1)C=CC=C2C#N;0.8;[0];[];[57];[61];[];855
CN(C1=CC(=CC(Cl)=N1)N(CC1CC1)CC1=CC=CC=C1)S(C)(=O)=O;N#C[Zn]C#N;CN(C1=CC(=CC(=N1)C#N)N(CC1CC1)CC1=CC=CC=C1)S(C)(=O)=O;0.81;[0];[];[57];[61];[];856
COC1=NC=C(C=C1)N1N=C(OC2CCCC2)N=C1C1=CC=C(Br)C=C1;[Zn]C#N;COC1=NC=C(C=C1)N1N=C(OC2CCCC2)N=C1C1=CC=C(C=C1)C#N;0.9;[0];[];[57];[61];[];857
CC1=C(C)C2=CC(Br)=CC=C2O1;N#C[Zn]C#N;CC1=C(C)C2=CC(=CC=C2O1)C#N;0.54;[0];[];[57];[61];[];858
CC1=C(C)C2=CC(Br)=CC=C2O1;N#C[Zn]C#N;CC1=C(C)C2=CC(=CC=C2O1)C#N;0.54;[0];[];[57];[61];[];859
FC1=CC=C(Br)C=C1CNC(=O)OCC1=CC=CC=C1;N#C[Zn]C#N;FC1=CC=C(C=C1CNC(=O)OCC1=CC=CC=C1)C#N;0.98;[0];[];[57];[61];[];860
BrC1=CC2=C(OCC3=NN=CN23)C=C1;N#C[Zn]C#N;N#CC1=CC2=C(OCC3=NN=CN23)C=C1;1.0;[0];[];[57];[61];[];861
OCC1=CC=C(C=C1)S(=O)(=O)C1=CC=CC=C1Br;N#C[Zn]C#N;OCC1=CC=C(C=C1)S(=O)(=O)C1=C(C=CC=C1)C#N;0.31;[0];[];[57];[61];[];863
BrC1=CN=C2N=NN(CC3=CC4=CC=CN=C4C=C3)C2=N1;N#C[Zn]C#N;N#CC1=CN=C2N=NN(CC3=CC4=CC=CN=C4C=C3)C2=N1;0.88;[7, 7];[];[57, 57];[];[];865
Cl[Zn]C1=C2C=CC=CC2=CC2=CC=CC=C12;COC1=C(OC)C(OC)=C(Br)C=C1;COC1=C(OC)C(OC)=C(C=C1)C1=C2C=CC=CC2=CC2=CC=CC=C12;0.7;[];[42];[57, 57];[60];[];866
BrC1=CN=CC(=C1)C#N;CC(C)C[Zn]Br;CC(C)CC1=CC(=CN=C1)C#N;0.41;[5];[];[57];[60];[];867
CC1(C)C(=O)NC2=C1C=C(Br)C=C2;COC(=O)C1(CC1)[Zn]Br;COC(=O)C1(CC1)C1=CC=C2NC(=O)C(C)(C)C2=C1;0.52;[1];[34];[57];[60];[];868
[Zn]C#N;BrC1=CC=C(C=N1)C1OCCO1;N#CC1=NC=C(C=C1)C1OCCO1;0.42;[0, 0];[];[57];[61];[];870
CC(C)(C)C1=CC2=C(NC3=C2C=C(C=C3Br)C(C)(C)C)C=C1;Br[Zn]C1=NC=CC=C1;CC(C)(C)C1=CC2=C(NC3=C2C=C(C=C3C2=NC=CC=C2)C(C)(C)C)C=C1;0.67;[0];[];[57, 57];[60];[];871
BrC1=CC=CC2=C1NC1=CC=CC=C21;Br[Zn]C1=NC=CC=C1;N1C2=C(C=CC=C2)C2=C1C(=CC=C2)C1=NC=CC=C1;0.84;[0];[];[57, 57];[60];[];872
Br[Zn]C1=NC=CC=C1;BrC1=CC=CC2=C1NC1=C2C=CC=C1Br;BrC1=CC=CC2=C1NC1=C(C=CC=C21)C1=NC=CC=C1;0.73;[0];[];[57, 57];[60];[];873
C[Zn]C;FC1=C(C=CC=C1)C1=CC=CC=N1;CC1=C(C=CC=C1)C1=NC=CC=C1;0.91;[12];[51];[57];[60];[94];874
FC1=C(C=CC=C1)C1=NC=CC=N1;C[Zn]C;CC1=C(C=CC=C1)C1=NC=CC=N1;0.8;[12];[51];[57];[60];[94];875
FC1=CC=CC(C2=CN=CC=N2)=C1F;C[Zn]C;CC1=C(C=CC=C1F)C1=NC=CN=C1;0.83;[12];[51];[57];[60];[94];876
C[Zn]C;FC1=C(F)C(F)=C(C2=NC=CC=C2)C(F)=C1F;CC1=C(F)C(F)=C(F)C(F)=C1C1=CC=CC=N1;0.72;[12];[51];[57];[60];[94];877
FC1=CC=CC(C2=CC=CC=N2)=C1F;C[Zn]C;CC1=C(F)C=CC=C1C1=CC=CC=N1;0.86;[12];[51];[57];[60];[94];878
FC1=C(F)C(=CC=C1)C1=NC=CC=N1;C[Zn]C;CC1=C(F)C=CC=C1C1=NC=CC=N1;0.84;[12];[51];[57];[60];[94];879
CC1=CC=C(C(F)=C1)C1=CC=CC=N1;C[Zn]C;CC1=CC=C(C(C)=C1)C1=NC=CC=C1;0.79;[12];[51];[57];[60];[94];881
FC1=CC=C(C=C1C1=NC=CC=C1)C(F)(F)F;C[Zn]C;CC1=CC=C(C=C1C1=NC=CC=C1)C(F)(F)F;0.83;[12];[51];[57];[60];[94];883
FC1=C(C=C(C=C1)C(F)(F)F)C1=NC=CC=N1;C[Zn]C;CC1=CC=C(C=C1C1=NC=CC=N1)C(F)(F)F;0.89;[12];[51];[57];[60];[94];884
CC1=CC=C(C(F)=C1)C1=CC=CC=N1;CC[Zn]CC;CCC1=CC(C)=CC=C1C1=CC=CC=N1;0.71;[12];[51];[57];[60];[94];885
FC1=CC=C(C=C1C1=NC=CC=C1)C(F)(F)F;CC[Zn]CC;CCC1=CC=C(C=C1C1=CC=CC=N1)C(F)(F)F;0.83;[12];[51];[57];[60];[94];886
CC[Zn]CC;FC1=C(C=CC=C1)C1=CC=CC=N1;CCC1=CC=CC=C1C1=NC=CC=C1;0.8;[12];[51];[57];[60];[94];887
FC1=C(C=C(C=C1)C(F)(F)F)C1=NC=CN=C1;Br[Zn]CC1=CC=CC=C1;FC(F)(F)C1=CC(=C(CC2=CC=CC=C2)C=C1)C1=NC=CN=C1;0.92;[12];[51];[57];[60];[94];888
FC1=C(F)C(=CC=C1)C1=NC=CC=N1;Br[Zn]CC1=CC=CC=C1;FC1=CC=CC(C2=NC=CC=N2)=C1CC1=CC=CC=C1;0.84;[12];[51];[57];[60];[94];889
CC(C)(C)OC(=O)N1CCC(CC1)C1=NC(NC2=NC=C(Br)S2)=CC=C1;CC(C)(C)C[Zn](I)I;CC(C)(C)CC1=CN=C(NC2=CC=CC(=N2)C2CCN(CC2)C(=O)OC(C)(C)C)S1;0.7;[15, 15];[];[57];[60];[95];890
CC(=O)OCC1=CC=CC=C1Br;CCC[Zn]Br;CCCC1=C(CC(O)=O)C=CC=C1;0.62;[6];[];[57];[60];[73, 73];891
I[Zn]C1CCOCC1;C[C@H]1C[C@@]1(N1C(=CC2=C1C=CC(Br)=C2)C(O)=O)C1=NOC(=O)N1;C[C@H]1C[C@@]1(N1C(=CC2=C1C=CC(=C2)C1CCOCC1)C(O)=O)C1=NOC(=O)N1;0.61;[3];[39];[57];[65];[];892
CC(C)(C)C1=CC=C(Br)C=C1;C[N]1(C)CC[N](C)(C)[Zn++]1([CH-](F)F)[CH-](F)F;CC(C)(C)C1=CC=C(C=C1)C(F)F;0.85;[4];[34];[57];[64];[];893
C[N]1(C)CC[N](C)(C)[Zn++]1([CH-](F)F)[CH-](F)F;ClC1=CC=C(C=C1)N(=O)=O;FC(F)C1=CC=C(C=C1)N(=O)=O;0.39;[4];[34];[57];[64];[];894
BrC1=CC(=CC=C1OCC1=CC=CC=C1)C(=O)OCC1=CC=CC=C1;N#C[Zn]C#N;O=C(OCC1=CC=CC=C1)C1=CC(C#N)=C(OCC2=CC=CC=C2)C=C1;0.97;[0];[];[57];[61];[];895
CC(C)C1=C(NC(=O)NC1=O)C(=O)C1=CC(Br)=CC(C)=C1;N#C[Zn]C#N;CC(C)C1=C(NC(=O)NC1=O)C(=O)C1=CC(C)=CC(=C1)C#N;0.8;[5, 1];[];[57];[62];[83, 71];896
CC(C)C1=C(NC(=O)NC1=O)C(=O)C1=CC(Br)=CC(C)=C1;N#C[Zn]C#N;CC(C)C1=C(NC(=O)NC1=O)C(=O)C1=CC(C)=CC(=C1)C#N;0.94;[5, 1, 1];[];[57];[];[83, 71];897
N#C[Zn]C#N;CC(=O)C1=CC(Br)=CC=C1;CC(=O)C1=CC(=CC=C1)C#N;0.78;[3];[32, 32];[57];[68];[];898
N#C[Zn]C#N;CC(=O)C1=CC=C(Br)C=C1;CC(=O)C1=CC=C(C=C1)C#N;0.94;[3];[32, 32];[57];[68];[];899
BrC1=CC2=CC=CC=C2N=C1;N#C[Zn]C#N;N#CC1=CC2=CC=CC=C2N=C1;0.95;[3];[32, 32];[57];[68];[];902
