Reactant1;Reactant2;Product;Yield;M;L;T;S;A;id
FC(F)(F)S(=O)(=O)OC1=C(C(=O)N2CCCC12CC1=CC=C(C=C1)C#N)C1=CC(Cl)=CC(Cl)=C1;N#C[Zn]C#N;ClC1=CC(=CC(Cl)=C1)C1=C(C#N)C2(CC3=CC=C(C=C3)C#N)CCCN2C1=O;0.75;[0];[];[59, 59];[61];[];29
CNS(=O)(=O)CC1=CC=C(NC(=O)C2=NNC3=CC=C(I)C=C23)C=C1;Br[Zn]C1=NC=CS1;CNS(=O)(=O)CC1=CC=C(NC(=O)C2=NNC3=CC=C(C=C23)C2=NC=CS2)C=C1;0.42;[6];[];[59];[60];[];30
CNS(=O)(=O)CC1=CC=C(NC(=O)C2=NNC3=CC=C(I)C=C23)C=C1;Br[Zn]C1=NC=CS1;CNS(=O)(=O)CC1=CC=C(NC(=O)C2=NNC3=CC=C(C=C23)C2=NC=CS2)C=C1;0.42;[6];[];[59];[60];[];31
CC1=CC(=NC=C1)N1NC=C(C1=O)C1=CC=C(Cl)N=C1;N#C[Zn]C#N;CC1=CC(=NC=C1)N1NC=C(C1=O)C1=CC=C(N=C1)C#N;0.07;[0];[];[59];[61];[];32
FC(F)(C1=NN=C2C=CC(=NN12)C1=CC(Cl)=NC=C1)C1=CC=C2N=CC=CC2=C1;N#C[Zn]C#N;FC(F)(C1=NN=C2C=CC(=NN12)C1=CC(=NC=C1)C#N)C1=CC=C2N=CC=CC2=C1;0.41;[0];[];[59];[61];[];34
ClC1=CC=NC2=CC=C(C=C)C=C12;N#C[Zn]C#N;C=CC1=CC=C2N=CC=C(C#N)C2=C1;0.73;[1];[32];[59];[65];[71];35
COC1=CC=C(CC2=CC(Br)=CC(=C2)C(=O)OCC[Si](C)(C)C)C=C1;N#C[Zn]C#N;COC1=CC=C(CC2=CC(=CC(=C2)C(=O)OCC[Si](C)(C)C)C#N)C=C1;0.85;[17];[38];[59];[61];[];36
CC(C)(C)OC(=O)NCC(O)C1=NC=C(Br)C=C1;N#C[Zn]C#N;CC(C)(C)OC(=O)NCC(O)C1=NC=C(C=C1)C#N;0.52;[1];[32];[59];[61];[];37
CC(C)(C)OC(=O)N1CCN(CC1)C1=C(C(N)=NC=C1Br)N(=O)=O;N#C[Zn]C#N;CC(C)(C)OC(=O)N1CCN(CC1)C1=C(C(N)=NC=C1C#N)N(=O)=O;0.14;[1];[32];[59];[61];[];38
N#C[Zn]C#N;CC(C)CC1=CC(CC2=CC=C(Br)C=C2)=C(S1)S(=O)(=O)NC(C)(C)C;CC(C)CC1=CC(CC2=CC=C(C=C2)C#N)=C(S1)S(=O)(=O)NC(C)(C)C;0.76;[0];[];[59];[61];[];40
CC(C)C1=C(O)C=CC(Br)=C1;N#C[Zn]C#N;CC(C)C1=CC(=CC=C1O)C#N;0.6;[0];[];[59];[61];[];41
CC(C)OC1=CC2=C(C=C1)C1=C(C2)C(=NN1)C1=CC=C(Cl)N=C1;N#C[Zn]C#N;CC(C)OC1=CC2=C(C=C1)C1=C(C2)C(=NN1)C1=CN=C(C=C1)C#N;0.55;[0];[];[59];[61];[];42
CC(C)OC1=CC2=C(C=C1OC(C)C)C1=C(C2)C(=NN1)C1=CC=C(Cl)N=C1;N#C[Zn]C#N;CC(C)OC1=CC2=C(C=C1OC(C)C)C1=C(C2)C(=NN1)C1=CN=C(C=C1)C#N;0.2;[0];[];[59];[61];[];43
CCN(CC)C1=CC2=C(C=C1)C1=C(C2)C(=NN1)C1=CN=C(Cl)C=C1;N#C[Zn]C#N;CCN(CC)C1=CC2=C(C=C1)C1=C(C2)C(=NN1)C1=CN=C(C=C1)C#N;0.73;[0];[];[59];[61];[];44
CCOC1=CC2=C(C=C1OCC)C1=C(C2)C(=NN1)C1=CC=C(Cl)N=C1;N#C[Zn]C#N;CCOC1=CC2=C(C=C1OCC)C1=C(C2)C(=NN1)C1=CN=C(C=C1)C#N;0.84;[0];[];[59];[61];[];45
COC1=CC2=C(C=C1OCC1=CC=CN=C1)C1=C(C2)C(=NN1)C1=CC=C(Br)C=C1;N#C[Zn]C#N;COC1=CC2=C(C=C1OCC1=CC=CN=C1)C1=C(C2)C(=NN1)C1=CC=C(C=C1)C#N;0.61;[0];[];[59];[61];[];46
COC1=CC2=C(C=C1OCC1=CC=NC=C1)C1=C(C2)C(=NN1)C1=CC=C(Br)C=C1;N#C[Zn]C#N;COC1=CC2=C(C=C1OCC1=CC=NC=C1)C1=C(C2)C(=NN1)C1=CC=C(C=C1)C#N;0.53;[0];[];[59];[61];[];47
COC1=CC2=C(C=C1OCCN(C)C)C1=C(C2)C(=NN1)C1=CC=C(Br)C=C1;N#C[Zn]C#N;COC1=CC2=C(C=C1OCCN(C)C)C1=C(C2)C(=NN1)C1=CC=C(C=C1)C#N;0.6;[0];[];[59];[61];[];48
COC1=CC2=C(CC3=C2NN=C3C2=CN=C(Cl)C=C2)C=C1OC(F)F;N#C[Zn]C#N;COC1=CC2=C(CC3=C2NN=C3C2=CN=C(C=C2)C#N)C=C1OC(F)F;0.32;[0];[];[59];[61];[];49
FC(F)OC1=CC2=C(C=C1OC(F)F)C1=C(C2)C(=NN1)C1=CC=C(Cl)N=C1;N#C[Zn]C#N;FC(F)OC1=CC2=C(C=C1OC(F)F)C1=C(C2)C(=NN1)C1=CN=C(C=C1)C#N;0.78;[0];[];[59];[61];[];50
BrC1=CC=C(C=C1)C1=NNC2=C1CC1=C2C=CC(=C1)N1CCOCC1;N#C[Zn]C#N;N#CC1=CC=C(C=C1)C1=NNC2=C1CC1=C2C=CC(=C1)N1CCOCC1;0.64;[0];[];[59];[61];[];51
BrC1=CC=C(C=C1)C1=NNC2=C1CC1=C2C=CC(CN2C=NC=N2)=C1;N#C[Zn]C#N;N#CC1=CC=C(C=C1)C1=NNC2=C1CC1=C2C=CC(CN2C=NC=N2)=C1;0.93;[0];[];[59];[61];[];52
ClC1=NC=C(C=C1)C1=NNC2=C1CC1=C2C=CC(CN2C=NC=N2)=C1;N#C[Zn]C#N;N#CC1=NC=C(C=C1)C1=NNC2=C1CC1=C2C=CC(CN2C=NC=N2)=C1;0.68;[0];[];[59];[61];[];54
ClC1=CC=C(C=N1)C1=NNC2=C1CC1=C2C=CC(OC2CCOCC2)=C1;N#C[Zn]C#N;N#CC1=NC=C(C=C1)C1=NNC2=C1CC1=C2C=CC(OC2CCOCC2)=C1;0.2;[0];[];[59];[61];[];55
OCCC1=CC2=C(C=C1)C1=C(C2)C(=NN1)C1=CC=C(Cl)N=C1;N#C[Zn]C#N;OCCC1=CC2=C(C=C1)C1=C(C2)C(=NN1)C1=CN=C(C=C1)C#N;0.49;[0];[];[59];[61];[];56
COC(=O)C1=C2NN=CC2=CC(Br)=C1N;N#C[Zn]C#N;COC(=O)C1=C2NN=CC2=CC(C#N)=C1N;0.94;[0];[];[59];[61];[];57
COC1=CC=C(C)C=C1OS(=O)(=O)C1=CC(I)=C2OC=CC2=C1;N#C[Zn]C#N;COC1=CC=C(C)C=C1OS(=O)(=O)C1=CC(C#N)=C2OC=CC2=C1;0.85;[0];[];[59];[61];[];58
O[C@H](CN1C=NC=N1)[C@@H](CC1=CC=C(Cl)C=C1)C1=CC(Br)=CC=C1;N#C[Zn]C#N;O[C@H](CN1C=NC=N1)[C@@H](CC1=CC=C(Cl)C=C1)C1=CC(=CC=C1)C#N;0.47;[0];[];[59];[61];[];59
CC1=CC=CC=C1[Zn]I;ClC1=CC=CC=N1;CC1=C(C=CC=C1)C1=NC=CC=C1;0.365;[6];[];[59];[60];[];60
CCCC[Zn]Cl;ClC1=CC=C(C=C1)N(=O)=O;CCCCC1=CC=C(C=C1)N(=O)=O;0.84;[1, 1];[];[59];[60];[];61
ClC1=CC=NC=C1;COC1=CC=C([Zn]Cl)C=C1;COC1=CC=C(C=C1)C1=CC=NC=C1;0.77;[1, 1];[];[59];[60];[];62
Cl[Zn]C1=NC=CC=C1;ClC1=CC=C(C=C1)N(=O)=O;O=N(=O)C1=CC=C(C=C1)C1=NC=CC=C1;0.75;[1, 1];[];[59];[60];[];63
